"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 09:17:24 GMT 2025","Tue Oct 28 09:17:34 GMT 2025","10472","","JavaTests","","JavaTests","testExample","testExample()","Test with GitHub description"
"passed","Tue Oct 28 09:17:35 GMT 2025","Tue Oct 28 09:17:41 GMT 2025","5991","","JavaTests","","JavaTests","testExample2","testExample2()","Test with GitHub description"
